name,nappe,flysch,formation,member,sector,type,log,stratigraphy_status,stratigraphy_comments,Pilloud1936,Lombard1940,Kuenen1953,Rigassi1985,Cogulu1961,JanduChene1974,JanduChene1975a,JanduChene1975b,JanduChene1975c,Stuijvenberg1980a,Stuijvenberg1980b,Winkler1985b,Vial1989,Ujetz1996,Charollais1998,Coppo1999,Frebourg2006,Kindler_unpublished,Ragusa2009,Ospina-Ostios2013,Ospina-Ostios2015,Ragusa2015a,reference_comments
Boisinges,Gurnigel,Voirons,Voirons Sandstone,,Vouan-W,road,no,,,,,,,,,,,,,,,,,,,x,,,,,,
Buisson-Rond (Juffly),Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,,no,,,,x,,,,,,,x,,,,,x,x,,,,,,x,,
Burdignin,Gurnigel,Voirons,Bruant Sandstone,,Grande-Combe-SE,road,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,x,,,,,,,x,
Carrière de Bons,Gurnigel,Voirons,Voirons Sandstone,Bons Sandstone,Voirons-NW,quarry,yes,lithostratotype,Lithostratotype of the Bons Sandstone Mb.,,,,,x,,,,x,x,,,,x,x,,,x,,,,x,Outcrop 2 (JanduChene1975)
Carrière de Fillinges (carrière principale),Gurnigel,Voirons,Voirons Sandstone,,Vouan-W,quarry,yes,,,,x,,,x,,,,x,x,,,,x,x,,x,x,x,,,x,Outcrop 17 (JanduChene1975)
Carrière de Fillinges (seconde carrière),Gurnigel,Voirons,Voirons Sandstone,,Vouan-W,quarry,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
Carrière de l'Avenue des Allinges (section 1),Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,yes,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de l'Avenue des Allinges (section 2),Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,yes,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de l'Avenue des Allinges (section 3),Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,yes,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de la Route de Noyer,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,no,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Carrière de Saint-André,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,quarry,yes,,,,x,,,x,,,,,,,,,,x,,,,,,,x,Carrière de Mermier (Cogulu1961)
Carrière de Zollhaus,Gurnigel,Berra,-,,Romandes,quarry,no,,,,,,,,,,,,,,,,,,,,,,,,x,
Carrière des Fayaux 1,Gurnigel,Fayaux-Pléiades,-,,Romandes,quarry,no,,,,,,,,,,,,,,,,,,,,,,,,x,
Carrière du Fenalet,Gurnigel,Voirons,Voirons Sandstone,Fenalet Sandstone,St-Gingolph,quarry,yes,,"Affiliated with Voirons Flysch formations (VS, BM or BS) ",,,,,,,,,,,,,,,,,,,,,,x,
Carrière inférieure de Saxel,Gurnigel,Voirons,Voirons Sandstone,,Voirons-NW,quarry,yes,,,,,,,x,,,,x,x,,,,,x,,,,,,,x,Outcrop 1 (JanduChene1975)
Carrière supérieure de Saxel,Gurnigel,Voirons,Vouan Conglomerates,,Voirons-NW,quarry,yes,,Previously affiliated to the Voirons Sandstone,,,,,x,,,,x,x,,,,,x,,,x,,,,x,"Outcrop 6 (JanduChene1975), Carrière de Saxel 2 (Stuijvenberg1980a)"
Château de la Rochette,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,stream,no,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
Chez les Bourguignons,Gurnigel,Voirons,Voirons Sandstone,,Vouan-W,road,yes,,,,x,,,,,,,,,,,,,x,,x,,,,,x,
Chez les Roch,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-S,,no,,,,,,,,,,,,x,,,,,x,,,,,,,,
Crête des Voirons 1 (Signal des Voirons),Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,cliff,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,Outcrop 18 W cliff (JanduChene1975)
Crête des Voirons 2,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,cliff,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
Crête des Voirons 3,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,trail,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
Crête des Voirons 4,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,trail,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
Crête des Voirons 5,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,cliff,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
Crête des Voirons 6,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,trail,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
Crête des Voirons 7,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,trail,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
D20 - Bouvet/Rollin (route),Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,road,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
D20 - Bouvet/Rollin (torrent),Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,stream,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
D20 - Talus 820,Gurnigel,Voirons,Voirons Sandstone,,Voirons-NW,road,yes,,,,,,,x,,,,,,,,,,x,,,,,,,x,Outcrop 4 (JanduChene1975)
D20 - Talus 890,Gurnigel,Voirons,Voirons Sandstone,,Voirons-NW,road,yes,,,,,,,,,,,,,,,,,x,,,,,,,x,
D20 - Talus 902,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-NW,road,no,,,,,,,,,,,,,,,,,x,,,,,,,x,
D50,Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,road,no,,,,,,,,,,,,,,,,,x,,,,,,,x,
Grande carrière d'Allinges,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,no,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,x,,,,x,x,,,x,,,,,,,,,x,Outcrop 21 (JanduChene1975)
Grands Bois (section 1),Gurnigel,Voirons,Voirons Sandstone,,Voirons-NW,road,no,,,,,,,,,,,,,,,,,,,,,,,,x,
Grands Bois (section 2),Gurnigel,Voirons,Voirons Sandstone,Bons Sandstone,Voirons-NW,road,yes,paralithosratotype,Paralithostratotype of the Bons Sandstone Mb.,,,,,,,,,,,,,,,,,,,,,,x,
Grange Sauthier,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,trail,yes,,,,,,,,,,,,,,,,,,,,,,,,x,
Granges Gaillard,Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,road,no,,,,x,,,x,,,,x,x,,,,,x,,,,,,,x,Additionnal outcrop described (Lombard1940)
Grotte aux Loups,Gurnigel,Voirons,Vouan Conglomerate,,Allinges,quarry,yes,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,,,,,,,,x,
La Cave aux Fées,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,trail,no,,,,,,,,,,,,,,,,x,,,,,,,,,Signal des Voirons B (Ujetz1996)
La Chavanne,Gurnigel,Voirons,Bruant Sandstone,,Grande-Combe-S,bank,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,x,,,,,,,x,
La Corbière,Gurnigel,Voirons,,,Voirons-E,,no,,,,x,,,,,,,,,,,,,,,,,,,,,
La Coterie,Gurnigel,Voirons,Vouan Conglomerate,,Voirons E,trail,no,,,,x,,,,,,,x,,,,,,,,,,,,,x,"Clavel outcrop ? (Lombard1940), outcrop 19 (JanduChene1975) "
La Janière,Gurnigel,Voirons,Voirons Sandstone,,Voirons E,trail,no,,,,,,,,,,,,,,,,,,,,,,,,x,
La Maisonnée,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,road,no,,,,,,,x,,,,,,,,,,,,,,,,,,Outcrop 8-11 (JanduChene1975)
La Mouille (Juffly),Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,,no,,,,,,,x,,,,,,,,,x,,,,,,,,,Outcrop 7 (JanduChene1975)
La Moutonnière,Gurnigel,Voirons,Voirons Sandstone,,Voirons-NW,road,yes,lithostratotype,Lithostratotype of the Voirons Sandstone Fm.,,,,,,,,,,,x,,,x,,,,x,x,,,x,Signal des Voirons A (Ujetz1996)
La Renardière,Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,trail,no,,,,,,,,,,,,,,,,,,,,,,,,x,
La Roche,Gurnigel,Voirons,,,,,no,,,,,,,,,,,,x,,,,,,,,,,,,,
La Salle,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,road,no,,,,,,,,,,,,,,,,,,,,,,,,x,
La Salle 2,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,road,no,,,,,,,,,,,,,,,,,,,,,,,,x,
Les Chaix,Gurnigel,Voirons,Boëge Marl,,Ludran,road,yes,,Limited exposure. Now covered by limestone blocks,,,,,,,,,,,,,,,,,,,,,,x,
Meulère de la Molière,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,quarry,yes,paralithosratotype,Paralithostratotype of the Vouan Conglomerate Fm.,,,,,,,,,,,,,,,,,x,,x,,,,
Meulière à Vachat,Gurnigel,Voirons,Vouan Conglomerate,,Vouan-W,quarry,yes,paralithosratotype,"Paralithostratotype of the Vouan Conglomerate Fm., Protected area",,,,,,,,,,,,,,,,,x,,,,,x,
Meulière de Grande Gueule,Gurnigel,Voirons,Vouan Conglomerate,,Vouan-W,quarry,yes,lithostratotype,"Lithostratotype of the Vouan Conglomerate Fm., Protected area",,,,,x,,,,,,,,,,,,x,,,,,x,Station 8 (Cogulu1961)
Monastère de Bethléem,Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,road,no,,,,x,,,,,,,x,,,,,,,,,,,,,x,"Hôtel des Voirons (Lombard1940,JanduChene1975), outcrop 20 (JanduChene1975)"
Nant de Carraz,Gurnigel,Voirons,Bruant Sandstone,,Grande-Combe-S,stream,yes,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,,,,,,,,x,
Nant de Carraz (bord de route),Gurnigel,Voirons,Bruant Sandstone,,Grande-Combe-S,road,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,,,,,,,,x,
Nant de la Combe Écuer,Gurnigel,Voirons,Bruant Sandstone,,Grande-Combe-SE,stream,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,,,,,,,,x,
Nant de Manant (section 1),Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,stream,yes,,,,x,,,x,,,,x,x,,,,,,,x,,,,,x,"Ravin des Périers (Cogulu1961), outcrop 12-16, Ruisseau des Gras (JanduChene1975,Stuijvenberg1980a)"
Nant de Manant (section 2),Gurnigel,Voirons,Voirons Sandstone - Vouan Conglomerate,,Voirons-E,trail,yes,,,,x,,,x,,,,x,x,,,,,,,x,,,,,x,"Ravin des Périers (Cogulu1961), outcrop 12-16, Ruisseau des Gras (JanduChene1975,Stuijvenberg1980a)"
Nant de Manant (section 3),Gurnigel,Voirons,Voirons Sandstone - Vouan Conglomerate,,Voirons-E,stream,yes,,,,x,,,x,,,,x,x,,,,,,,x,,,,,x,"Ravin des Périers (Cogulu1961), outcrop 12-16, Ruisseau des Gras (JanduChene1975,Stuijvenberg1980a)"
Petite carrière d'Allinges,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,quarry,no,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,x,,,,,,,,x,,,,,,,,,x,
Planet,Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,road,yes,,,,,,,,,,,x,,,,,,,,,,,,,x,
Pointe de Brantaz,Gurnigel,Voirons,Voirons Sandstone,Conglomerate of the Voirons Sandstone,Voirons-W,trail,yes,,,,x,,,,,,,,x,,,,,,,,,,,,x,
Pralère,Gurnigel,Voirons,Voirons Sandstone,Conglomerate of the Voirons Sandstone,Voirons-W,trail,yes,,Metric pink granite and limestone blocks,,,,,x,,,,,x,,,,,,,,,,,,x,
Rau Bruant (section 1),Gurnigel,Voirons,Bruant Sandstone,,Tête de Char SE,stream,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,,,,,,,,x,
Rau Bruant (section 2),Gurnigel,Voirons,Bruant Sandstone,,Tête de Char SE,stream,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,,,,,,,,x,
Rau Bruant (section 3),Gurnigel,Voirons,Bruant Sandstone,,Tête de Char SE,stream,no,,Previously affiliated to the Wildflysch (Kerrien1998),,,,,,,,,,,,,,,,,,,,,,x,
Rempart Nord de Château-Neuf d'Allinges,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,bank,no,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,x,,,,,,,,x,,x,,,,,,,x,Château des Allinges (Cogulu1961)
Roche aux Corbeaux,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,cliff,yes,,,,,,,,,,,,,,,,,,,,,,,,x,
Rocher d'escalade,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,cliff,yes,lithostratotype,Previously affiliated to the Vouan Conglomerate (Vial1987). Lithostratotype of the Allinges Sandstone Mb.,,,,,,,,,,,,,,,,,,,,,,x,
Route de Supersaxel,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,road,yes,,,,,,,,,,,,,,,,,,,,,,,,x,
Route des Monastères,Gurnigel,Voirons,Voirons Sandstone,Conglomerate of the Voirons Sandstone,Voirons-E,quarry,yes,,Clast supported conglomerate,,,,,,,,,,x,,,,,,,x,,,,,x,
Saut de la Pucelle,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,cliff,yes,,,,,,,,,,,,,,,,,,,,,,,,x,
Saxel église,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,bank,no,,,,,,,,,,,,,,,,,,,,,,,,x,
Saxel église (torrent),Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,stream,no,,,,,,,,,,,,,,,,,,,,,,,,x,
Scierie des Chênets,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,road,no,,,,,,,,,,,,,,,,,,,x,,,,,,
Sentier des Châteaux des Allinges,Gurnigel,Voirons,Voirons Sandstone,Allinges Sandstone,Allinges,trail,no,,Previously affiliated to the Vouan Conglomerate (Vial1987),,,,,,,,,,,,,x,,x,,,,,,,x,
Sous-Lachat,Gurnigel,Voirons,Voirons Sandstone,,Voirons-W,,no,,uncertain affiliation,,x,,,,,,,,x,,,,,,,,,,,,,
Supersaxel,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,road,yes,,Previous paralithostratotype (Stuijvenberg1980b),,,,,,,,,,,x,,,x,,,,,,,,x,
Torrent Chez le Merizier,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,stream,yes,paralithosratotype,Paralithostratotype of the Boëge Marl Fm.,,,,,,,,,,,,,,,,,,,,,,x,
Torrent Chez Musard,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-S,stream,no,,Previous paralithostratotype (Stuijvenberg1980b),,,,,,,,,,,x,,,,,,,,,,,x,
Torrent Chez Rollin,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,stream,yes,paralithosratotype,Paralithostratotype of the Boëge Marl Fm.,,,,,,,,,,,,,,,,,,,,,,x,
Torrent de Chauffemérande,Gurnigel,Voirons,Boëge Marl,,Vouan-E,stream,yes,,Previous paralithostratotype (Stuijvenberg1980b),,x,,,,,,,,,x,,,x,,,,,,,,x,
Torrent de Curseilles (section 1),Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,stream,yes,paralithosratotype,Paralithostratotype of the Voirons Sandstone Fm.,,,,,,,,,,,,,,,,,,,,,,x,
Torrent de Curseilles (section 2),Gurnigel,Voirons,Voirons Sandstone,,Voirons-E,stream,yes,paralithosratotype,Paralithostratotype of the Voirons Sandstone Fm.,,,,,,,,,,,,,,,,,,,,,,x,
Torrent de Curseilles (section 3),Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,stream,yes,paralithosratotype,Paralithostratotype of the Voirons Sandstone Fm.,,,,,,,,,,,,,,,,,,,,,,x,
Torrent de Curseilles (section 4),Gurnigel,Voirons,Voirons Sandstone - Vouan Conglomerate,,Voirons-E,stream,yes,paralithosratotype,Paralithostratotype of the Voirons Sandstone Fm.,,,,,,,,,,,,,,,,,x,,,,,x,
Torrent de la Molertaz,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,stream,yes,,,,,,,,,,,,,,,,,,,,,,,,x,
Torrent de Saxel,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,stream,yes,lithostratotype,Lithostratotype of the Boëge Marl Fm.,,,,,,,,,,,x,,,x,,,,,,,,x,Lithostratotype (Stuijvenberg1980a)
Torrent de Saxel inférieur,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,stream,yes,,,,,,,,,,,,,,,,,,,,,,,,x,
Torrent de Supersaxel,Gurnigel,Voirons,Boëge Marl,,Grande-Combe-W,stream,yes,,,,,,,,,,,,,,,,,,,,,,,,x,
Torrent du Rafort,Gurnigel,Voirons,Vouan Conglomerate,,Voirons-E,stream,no,,,,,,,,,,,,,,,,,,,,,,,,x,
